CW: inception_v3_norm: AR = 98.84 , ACC = 75.30, AM = 0.00
CW: inception_v4_norm: AR = 97.48 , ACC = 74.96, AM = 0.00
--------------------NOT-GI------------------------
FGSM-2/255: resnet50_norm: AR = 27.93 , ACC = 22.14, AM = 0.00
FGSM-4/255: resnet50_norm: AR = 27.10 , ACC = 21.49, AM = 0.02
FGSM-8/255: resnet50_norm: AR = 28.36 , ACC = 22.51, AM = 0.14
I-FGSM-2/255-5: resnet50_norm: AR = 2.27 , ACC = 1.80, AM = 0.00
I-FGSM-2/255-10: resnet50_norm: AR = 0.59 , ACC = 0.47, AM = 0.00
I-FGSM-4/255-5: resnet50_norm: AR = 1.16 , ACC = 0.92, AM = 0.00
I-FGSM-4/255-10: resnet50_norm: AR = 0.20 , ACC = 0.16, AM = 0.00
I-FGSM-8/255-5: resnet50_norm: AR = 1.11 , ACC = 0.88, AM = 0.00
I-FGSM-8/255-10: resnet50_norm: AR = 0.15 , ACC = 0.12, AM = 0.00
FGSM-2/255: resnet101_norm: AR = 60.33 , ACC = 49.13, AM = 0.00
FGSM-4/255: resnet101_norm: AR = 59.51 , ACC = 48.46, AM = 0.02
FGSM-8/255: resnet101_norm: AR = 59.24 , ACC = 48.27, AM = 0.11
I-FGSM-2/255-5: resnet101_norm: AR = 26.15 , ACC = 21.30, AM = 0.00
I-FGSM-2/255-10: resnet101_norm: AR = 14.71 , ACC = 11.98, AM = 0.00
I-FGSM-4/255-5: resnet101_norm: AR = 21.68 , ACC = 17.65, AM = 0.00
I-FGSM-4/255-10: resnet101_norm: AR = 8.00 , ACC = 6.51, AM = 0.00
I-FGSM-8/255-5: resnet101_norm: AR = 21.47 , ACC = 17.48, AM = 0.00
I-FGSM-8/255-10: resnet101_norm: AR = 6.47 , ACC = 5.27, AM = 0.00
FGSM-2/255: densenet169_norm: AR = 6.24 , ACC = 4.61, AM = 0.01
FGSM-4/255: densenet169_norm: AR = 5.59 , ACC = 4.12, AM = 0.01
FGSM-8/255: densenet169_norm: AR = 7.16 , ACC = 5.29, AM = 0.03
I-FGSM-2/255-5: densenet169_norm: AR = 0.33 , ACC = 0.24, AM = 0.00
I-FGSM-2/255-10: densenet169_norm: AR = 0.21 , ACC = 0.16, AM = 0.00
I-FGSM-4/255-5: densenet169_norm: AR = 0.25 , ACC = 0.19, AM = 0.00
I-FGSM-4/255-10: densenet169_norm: AR = 0.15 , ACC = 0.11, AM = 0.00
I-FGSM-8/255-5: densenet169_norm: AR = 0.25 , ACC = 0.18, AM = 0.00
I-FGSM-8/255-10: densenet169_norm: AR = 0.16 , ACC = 0.12, AM = 0.00
FGSM-2/255: efficientnet_b4_norm: AR = 31.77 , ACC = 24.62, AM = 0.00
FGSM-4/255: efficientnet_b4_norm: AR = 29.38 , ACC = 22.77, AM = 0.00
FGSM-8/255: efficientnet_b4_norm: AR = 29.33 , ACC = 22.73, AM = 0.00
I-FGSM-2/255-5: efficientnet_b4_norm: AR = 2.88 , ACC = 2.23, AM = 0.00
I-FGSM-2/255-10: efficientnet_b4_norm: AR = 0.82 , ACC = 0.64, AM = 0.00
I-FGSM-4/255-5: efficientnet_b4_norm: AR = 1.41 , ACC = 1.10, AM = 0.00
I-FGSM-4/255-10: efficientnet_b4_norm: AR = 0.21 , ACC = 0.16, AM = 0.00
I-FGSM-8/255-5: efficientnet_b4_norm: AR = 1.23 , ACC = 0.96, AM = 0.00
I-FGSM-8/255-10: efficientnet_b4_norm: AR = 0.21 , ACC = 0.16, AM = 0.00
FGSM-2/255: vit_base_patch16_224_norm: AR = 18.66 , ACC = 14.20, AM = 0.01
FGSM-4/255: vit_base_patch16_224_norm: AR = 13.26 , ACC = 10.10, AM = 0.02
FGSM-8/255: vit_base_patch16_224_norm: AR = 11.24 , ACC = 8.57, AM = 0.10
I-FGSM-2/255-5: vit_base_patch16_224_norm: AR = 1.47 , ACC = 1.12, AM = 0.00
I-FGSM-2/255-10: vit_base_patch16_224_norm: AR = 0.54 , ACC = 0.41, AM = 0.00
I-FGSM-4/255-5: vit_base_patch16_224_norm: AR = 0.49 , ACC = 0.37, AM = 0.00
I-FGSM-4/255-10: vit_base_patch16_224_norm: AR = 0.06 , ACC = 0.04, AM = 0.00
I-FGSM-8/255-5: vit_base_patch16_224_norm: AR = 0.40 , ACC = 0.31, AM = 0.00
I-FGSM-8/255-10: vit_base_patch16_224_norm: AR = 0.02 , ACC = 0.01, AM = 0.00
FGSM-2/255: inception_v3_norm: AR = 26.74 , ACC = 20.44, AM = 0.00
FGSM-4/255: inception_v3_norm: AR = 25.21 , ACC = 19.27, AM = 0.00
FGSM-8/255: inception_v3_norm: AR = 26.55 , ACC = 20.30, AM = 0.03
I-FGSM-2/255-5: inception_v3_norm: AR = 2.58 , ACC = 1.97, AM = 0.00
I-FGSM-2/255-10: inception_v3_norm: AR = 0.74 , ACC = 0.57, AM = 0.00
I-FGSM-4/255-5: inception_v3_norm: AR = 1.27 , ACC = 0.97, AM = 0.00
I-FGSM-4/255-10: inception_v3_norm: AR = 0.20 , ACC = 0.15, AM = 0.00
